segment,origin_id,origin_index,segment_lo,segment_hi,target_end_index,index_in_segment
train,Climate:h4:f2:o52,52,0,636,56,True
train,Climate:h4:f2:o53,53,0,636,57,True
train,Climate:h4:f2:o54,54,0,636,58,True
train,Climate:h4:f2:o55,55,0,636,59,True
train,Climate:h4:f2:o56,56,0,636,60,True
train,Climate:h4:f2:o57,57,0,636,61,True
train,Climate:h4:f2:o58,58,0,636,62,True
train,Climate:h4:f2:o59,59,0,636,63,True
train,Climate:h4:f2:o60,60,0,636,64,True
train,Climate:h4:f2:o61,61,0,636,65,True
train,Climate:h4:f2:o62,62,0,636,66,True
train,Climate:h4:f2:o63,63,0,636,67,True
train,Climate:h4:f2:o64,64,0,636,68,True
train,Climate:h4:f2:o65,65,0,636,69,True
train,Climate:h4:f2:o66,66,0,636,70,True
train,Climate:h4:f2:o67,67,0,636,71,True
train,Climate:h4:f2:o68,68,0,636,72,True
train,Climate:h4:f2:o69,69,0,636,73,True
train,Climate:h4:f2:o70,70,0,636,74,True
train,Climate:h4:f2:o71,71,0,636,75,True
train,Climate:h4:f2:o72,72,0,636,76,True
train,Climate:h4:f2:o73,73,0,636,77,True
train,Climate:h4:f2:o74,74,0,636,78,True
train,Climate:h4:f2:o75,75,0,636,79,True
train,Climate:h4:f2:o76,76,0,636,80,True
train,Climate:h4:f2:o77,77,0,636,81,True
train,Climate:h4:f2:o78,78,0,636,82,True
train,Climate:h4:f2:o79,79,0,636,83,True
train,Climate:h4:f2:o80,80,0,636,84,True
train,Climate:h4:f2:o81,81,0,636,85,True
train,Climate:h4:f2:o82,82,0,636,86,True
train,Climate:h4:f2:o83,83,0,636,87,True
train,Climate:h4:f2:o84,84,0,636,88,True
train,Climate:h4:f2:o85,85,0,636,89,True
train,Climate:h4:f2:o86,86,0,636,90,True
train,Climate:h4:f2:o87,87,0,636,91,True
train,Climate:h4:f2:o88,88,0,636,92,True
train,Climate:h4:f2:o89,89,0,636,93,True
train,Climate:h4:f2:o90,90,0,636,94,True
train,Climate:h4:f2:o91,91,0,636,95,True
train,Climate:h4:f2:o92,92,0,636,96,True
train,Climate:h4:f2:o93,93,0,636,97,True
train,Climate:h4:f2:o94,94,0,636,98,True
train,Climate:h4:f2:o95,95,0,636,99,True
train,Climate:h4:f2:o96,96,0,636,100,True
train,Climate:h4:f2:o97,97,0,636,101,True
train,Climate:h4:f2:o98,98,0,636,102,True
train,Climate:h4:f2:o99,99,0,636,103,True
train,Climate:h4:f2:o100,100,0,636,104,True
train,Climate:h4:f2:o101,101,0,636,105,True
train,Climate:h4:f2:o102,102,0,636,106,True
train,Climate:h4:f2:o103,103,0,636,107,True
train,Climate:h4:f2:o104,104,0,636,108,True
train,Climate:h4:f2:o105,105,0,636,109,True
train,Climate:h4:f2:o106,106,0,636,110,True
train,Climate:h4:f2:o107,107,0,636,111,True
train,Climate:h4:f2:o108,108,0,636,112,True
train,Climate:h4:f2:o109,109,0,636,113,True
train,Climate:h4:f2:o110,110,0,636,114,True
train,Climate:h4:f2:o111,111,0,636,115,True
