candidate_id,segment,origin_id,step,mine,master,abs_err,exact_match
Last,calibration,Agriculture:h12:f1:o212,1,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,2,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,3,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,4,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,5,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,6,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,7,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,8,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,9,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,10,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,11,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o212,12,1.0504355430603027,1.0504355430603027,0.0,1
Last,calibration,Agriculture:h12:f1:o213,1,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,2,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,3,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,4,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,5,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,6,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,7,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,8,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,9,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,10,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,11,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o213,12,1.2183494567871094,1.2183494567871094,0.0,1
Last,calibration,Agriculture:h12:f1:o214,1,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,2,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,3,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,4,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,5,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,6,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,7,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,8,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,9,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,10,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,11,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o214,12,1.0089952945709229,1.0089952945709229,0.0,1
Last,calibration,Agriculture:h12:f1:o215,1,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,2,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,3,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,4,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,5,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,6,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,7,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,8,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,9,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,10,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,11,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o215,12,1.1672217845916748,1.1672217845916748,0.0,1
Last,calibration,Agriculture:h12:f1:o216,1,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,2,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,3,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,4,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,5,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,6,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,7,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,8,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,9,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,10,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,11,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o216,12,0.9810096025466919,0.9810096025466919,0.0,1
Last,calibration,Agriculture:h12:f1:o217,1,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,2,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,3,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,4,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,5,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,6,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,7,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,8,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,9,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,10,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,11,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o217,12,1.2560224533081055,1.2560224533081055,0.0,1
Last,calibration,Agriculture:h12:f1:o218,1,1.1058686971664429,1.1058686971664429,0.0,1
Last,calibration,Agriculture:h12:f1:o218,2,1.1058686971664429,1.1058686971664429,0.0,1
Last,calibration,Agriculture:h12:f1:o218,3,1.1058686971664429,1.1058686971664429,0.0,1
Last,calibration,Agriculture:h12:f1:o218,4,1.1058686971664429,1.1058686971664429,0.0,1
