segment,feature,unit,basis,n,finite_n,mean,std,q25,median,q75,missing_rate,delta_mean_from_train,delta_mean_in_train_sd
train,numeric_history_raw/OT,source OT unit,recomputed from selection_fit historical input,30212,30212,57.6787988704892,9.049641071321783,50.95000076293945,57.290000915527344,64.11000061035156,0.0,0.0,0.0
train,proxy/text_available,0/1,recomputed from safe released feature,581,581,1.0,0.0,1.0,1.0,1.0,0.0,0.0,
train,proxy/quality_0,feature value,recomputed from safe released feature,581,581,3.181666916701141,0.07615338246535085,3.178053855895996,3.2188758850097656,3.2188758850097656,0.0,0.0,0.0
train,proxy/quality_1,feature value,recomputed from safe released feature,581,581,3.8382700273379196,0.049867327533987246,3.8066625595092773,3.828641414642334,3.8712010383605957,0.0,0.0,0.0
train,proxy/quality_2,feature value,recomputed from safe released feature,581,581,3.181666916701141,0.07615338246535085,3.178053855895996,3.2188758850097656,3.2188758850097656,0.0,0.0,0.0
train,proxy/quality_3,feature value,recomputed from safe released feature,581,581,3.4965076446533203,0.0,3.4965076446533203,3.4965076446533203,3.4965076446533203,0.0,0.0,
train,proxy/quality_4,feature value,recomputed from safe released feature,581,581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
train,proxy/quality_5,feature value,recomputed from safe released feature,581,581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
train,proxy/quality_6,feature value,recomputed from safe released feature,581,581,0.007300788881305266,0.005814793383466952,0.005494505632668734,0.005494505632668734,0.005494505632668734,0.0,0.0,0.0
train,proxy/quality_7,feature value,recomputed from safe released feature,581,581,0.4116394957351192,0.021280590659676395,0.3977629542350769,0.4134615361690521,0.4258732199668884,0.0,0.0,0.0
train,proxy/quality_8,feature value,recomputed from safe released feature,581,581,0.09766736609954227,0.03463749052219564,0.0833333358168602,0.0833333358168602,0.1111111119389534,0.0,0.0,0.0
train,proxy/quality_9,feature value,recomputed from safe released feature,581,581,0.05609939759036144,0.03825409199960907,0.03125,0.0625,0.0625,0.0,0.0,0.0
train,conservative_lag/text_available,0/1,recomputed from safe released feature,581,581,1.0,0.0,1.0,1.0,1.0,0.0,0.0,
train,conservative_lag/quality_0,feature value,recomputed from safe released feature,581,581,3.1621992739876044,0.08410262277511509,3.1354942321777344,3.2188758850097656,3.2188758850097656,0.0,0.0,0.0
train,conservative_lag/quality_1,feature value,recomputed from safe released feature,581,581,3.8192215269485974,0.05046188969846925,3.7841897010803223,3.8066625595092773,3.8501474857330322,0.0,0.0,0.0
train,conservative_lag/quality_2,feature value,recomputed from safe released feature,581,581,3.1621992739876044,0.08410262277511509,3.1354942321777344,3.2188758850097656,3.2188758850097656,0.0,0.0,0.0
train,conservative_lag/quality_3,feature value,recomputed from safe released feature,581,581,3.4965076446533203,0.0,3.4965076446533203,3.4965076446533203,3.4965076446533203,0.0,0.0,
train,conservative_lag/quality_4,feature value,recomputed from safe released feature,581,581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
train,conservative_lag/quality_5,feature value,recomputed from safe released feature,581,581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
train,conservative_lag/quality_6,feature value,recomputed from safe released feature,581,581,0.0265315584261323,0.005814793558433622,0.024725275114178658,0.024725275114178658,0.024725275114178658,0.0,0.0,0.0
train,conservative_lag/quality_7,feature value,recomputed from safe released feature,581,581,0.42620915215520155,0.02022173085861545,0.412676602602005,0.4269525110721588,0.44106364250183105,0.0,0.0,0.0
train,conservative_lag/quality_8,feature value,recomputed from safe released feature,581,581,0.09769751354667283,0.03682418483977605,0.0833333358168602,0.08695652335882187,0.1111111119389534,0.0,0.0,0.0
train,conservative_lag/quality_9,feature value,recomputed from safe released feature,581,581,0.05620697074010327,0.038183998308140094,0.03125,0.0625,0.0625,0.0,0.0,0.0
calibration,numeric_history_raw/OT,source OT unit,recomputed from selection_fit historical input,6448,6448,45.23960149081114,11.51971940574196,34.41499996185303,46.45000076293945,52.33000183105469,0.0,-12.439197379678063,-1.3745514636042029
calibration,proxy/text_available,0/1,recomputed from safe released feature,124,124,1.0,0.0,1.0,1.0,1.0,0.0,0.0,
calibration,proxy/quality_0,feature value,recomputed from safe released feature,124,124,3.2161861542732484,0.01473226198005421,3.2188758850097656,3.2188758850097656,3.2188758850097656,0.0,0.034519237572107286,0.45328567759696364
calibration,proxy/quality_1,feature value,recomputed from safe released feature,124,124,3.8845672434376133,0.017390135068119192,3.8712010383605957,3.891820192337036,3.891820192337036,0.0,0.04629721609969373,0.9284078050531123
calibration,proxy/quality_2,feature value,recomputed from safe released feature,124,124,3.2161861542732484,0.01473226198005421,3.2188758850097656,3.2188758850097656,3.2188758850097656,0.0,0.034519237572107286,0.45328567759696364
calibration,proxy/quality_3,feature value,recomputed from safe released feature,124,124,3.4965076446533203,0.0,3.4965076446533203,3.4965076446533203,3.4965076446533203,0.0,0.0,
calibration,proxy/quality_4,feature value,recomputed from safe released feature,124,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
calibration,proxy/quality_5,feature value,recomputed from safe released feature,124,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
